#{"t_start": 1639866599.008463, "env_id": null}
r,l,t
-3.109835,60,234.825548
-2.776556,39,235.485845
-2.418172,22,236.013967
-7.576844,242,238.587152
-3.372967,71,239.483847
-5.229474,127,240.986624
-4.316725,111,242.316869
-3.345418,69,243.316108
-3.81679,94,244.442488
-4.511801,153,246.195714
-3.236998,67,247.086421
-3.362041,59,248.007909
-4.399511,136,249.582866
-3.226389,68,250.485109
-3.108893,54,251.266236
-3.435894,72,252.182775
-5.182918,190,254.174164
-3.153828,55,254.976387
-3.488311,67,255.859159
-2.355254,19,256.372912
-3.132904,53,257.128787
-2.562033,28,257.704864
-3.867953,93,258.828923
-3.986622,95,259.996519
-3.605259,73,260.924064
-3.406428,71,261.80506
-3.336895,65,262.633832
-3.044266,56,263.491923
-3.359616,72,264.431076
-5.368701,233,266.790005
-3.040849,55,267.635161
-6.17463,213,269.768093
-3.346056,90,270.9195
-3.746066,95,272.162892
-5.748962,168,274.107187
-2.995128,48,274.869096
-3.910208,100,276.045898
-3.127479,60,276.921814
-2.407694,23,277.536022
-4.195288,113,279.966805
-3.615821,84,281.013324
-2.695279,45,281.76355
-3.388148,68,282.737803
-2.690776,39,283.456705
-3.514616,85,284.608773
-7.23442,223,287.066171
-2.852777,84,288.077631
-2.946326,51,288.838245
-5.468927,169,290.629299
-6.068155,180,292.509833
-5.236193,192,294.586456
-2.386612,19,295.122765
-3.149565,62,295.951346
-3.859461,77,297.028796
-3.243375,64,297.958602
-3.094675,56,298.764049
-3.438187,63,299.851203
-2.469317,24,300.454777
-2.443997,23,301.038813
-3.507915,72,302.206951
-3.165883,57,303.182706
-3.091554,55,304.321522
-3.327437,72,305.739616
-4.215177,99,307.270584
-3.542284,77,308.468999
-3.778299,89,309.890013
-2.800216,39,310.853712
-3.07415,62,311.990649
-2.372358,22,312.604577
-6.099848,164,314.563249
-2.914063,48,315.406012
-7.324337,291,318.716475
-4.303982,140,320.539077
-4.05695,100,322.09561
-2.522358,30,322.9698
-2.545134,30,323.737113
-2.581315,29,324.464919
-4.548692,131,326.519153
-3.209829,63,327.535033
-3.080884,56,328.639247
-3.251643,58,329.687663
-3.13523,50,330.614358
-2.780264,38,331.426058
-2.980295,55,332.4016
-3.533643,87,333.914473
-3.822468,79,335.40497
-4.730024,132,337.003593
-3.663889,89,338.191682
-4.458056,113,340.858037
-2.633002,30,341.529041
-3.974488,121,343.066787
-3.575341,86,344.365308
-3.408637,74,345.744138
-3.919764,97,346.996027
-4.242568,112,348.33808
-3.759084,94,349.555375
-2.504291,31,350.199515
-5.098708,116,351.554112
-2.591891,36,352.28073
-3.354638,69,353.270252
-12.455332,507,358.2191
-3.358149,68,359.203108
-2.756692,40,359.917059
-3.242181,63,360.801289
-2.588649,27,361.397121
-4.571204,120,362.766618
-2.772689,38,363.459442
-5.316301,186,365.483627
-4.999155,139,367.048339
-3.856828,96,368.334478
-3.686335,81,369.428514
-3.132116,55,370.283002
-2.82363,43,371.014199
-4.005679,92,372.15144
-5.195237,170,374.047736
-2.681661,37,374.756488
-3.678138,90,375.935623
-2.995727,50,376.734457
-7.740378,275,379.51723
-2.589261,42,380.284087
-2.412521,25,380.865237
-2.788376,41,381.571443
-3.100834,51,382.390843
-4.8408,140,384.01108
-3.69861,97,385.222759
-3.493579,80,386.271461
-5.248873,149,387.95685
-3.792243,82,389.039112
-3.664329,91,390.219321
-3.566307,79,391.265766
-3.181979,71,392.24103
-4.820789,140,395.013809
-3.415199,72,396.047195
-3.193904,65,396.967825
-2.910842,44,397.710123
-7.823485,245,400.258181
-4.079387,107,401.594613
-5.210603,160,403.346821
-3.010041,58,404.215952
-2.770967,42,404.938543
-2.680584,32,405.573079
-2.822414,38,406.246712
-4.133403,88,407.382106
-3.23698,70,408.364561
-3.196786,58,409.241966
-3.220629,66,410.170627
-3.672944,79,411.216741
-5.064953,157,413.306142
-2.888586,46,414.398803
-4.228677,112,415.77733
-2.750752,38,416.476939
-4.098313,100,417.687913
-2.895466,58,418.569578
-3.210832,63,419.467836
