#{"t_start": 1639779249.7269483, "env_id": null}
r,l,t
-0.279082,166,1.650436
2.946801,1001,8.937863
0.873497,323,11.694078
0.253675,448,15.461517
4.098345,1001,24.822395
4.431817,1001,34.942163
2.535776,1001,44.210114
4.788023,1001,52.497265
8.419193,1001,60.588817
5.820753,1001,68.829672
6.356307,1001,78.416453
6.502696,1001,88.59677
3.14209,551,93.890184
7.375886,1001,103.350749
3.545182,1001,116.543903
-1.075168,22,117.570021
9.687919,1001,129.238843
0.354748,410,134.018562
3.935011,1001,144.605614
2.140968,1001,153.544058
6.069655,1001,163.472637
8.324354,1001,172.962155
5.92765,1001,182.039744
4.37341,758,188.694606
5.202698,1001,198.319729
2.520061,451,202.333825
10.33016,1001,210.895372
7.481109,1001,219.389866
8.103702,1001,228.073258
12.607892,1001,237.757671
9.7676,1001,246.410512
7.412146,1001,254.951946
2.589423,436,258.86991
10.894305,1001,268.086354
4.66072,496,274.709646
2.831203,213,277.46104
11.296735,1001,286.580033
8.984861,1001,296.434854
4.507857,610,302.923573
13.129957,1001,315.081016
9.501033,617,321.918395
12.187436,1001,331.534482
11.159858,1001,342.785223
9.619068,765,350.006721
10.872495,1001,359.96752
10.446807,789,367.069393
11.994248,885,375.390081
4.466448,421,380.149953
15.33341,1001,390.743417
13.282286,1001,405.160266
14.960648,1001,418.517766
14.976653,1001,433.185247
13.6882,1001,445.72171
18.484856,1001,460.390338
18.076809,1001,472.059003
10.627604,705,478.101872
17.455252,1001,486.309676
9.542388,776,492.819325
12.799909,746,500.116178
8.049537,487,504.300893
5.452146,362,507.566327
12.190968,567,512.412277
6.004413,461,516.381212
11.123871,580,521.312721
19.703594,1001,529.6189
5.978444,324,533.542353
21.647827,1001,541.714753
15.725566,864,548.815109
6.717641,441,552.585929
13.735305,704,559.551507
18.878318,1001,573.096842
6.557736,318,577.302491
21.435898,1001,587.051698
22.083946,1001,597.728068
14.31196,778,606.595678
12.725316,673,613.392658
21.099854,1001,623.6795
23.074015,1001,633.198461
20.101623,1001,643.085734
24.179264,1001,655.189146
23.607348,1001,665.489441
24.765263,1001,676.053477
26.480496,1001,687.009668
11.179597,497,691.729589
21.698295,1001,702.174422
7.042741,333,705.395661
