#{"t_start": 1641206236.1098614, "env_id": null}
r,l,t
-2.754254,1001,16.417117
-2.89761,759,29.204732
-4.683782,475,39.307389
-6.174196,429,46.602586
-2.820913,198,50.77782
-4.620168,1001,69.033827
-10.012511,878,83.534164
-4.793304,266,88.969399
-6.305513,1001,114.235299
-7.758724,753,130.938598
-2.91888,245,135.918363
-7.670104,1001,156.929279
-4.973273,1001,178.185843
-8.153629,1001,199.690729
-3.488302,176,203.809268
-1.71098,1001,225.457503
-5.457217,1001,246.09894
-5.130803,1001,267.054799
-2.353024,1001,287.950864
-1.403483,1001,309.77674
-1.214257,1001,331.48582
1.890111,1001,354.257343
-4.067838,1001,376.691547
-0.879099,1001,399.821332
0.04627,1001,423.240756
-0.820355,183,427.446692
-0.593996,1001,450.356712
2.503637,1001,473.351905
3.127311,753,490.962761
3.741284,1001,514.011691
0.242987,1001,537.200318
2.752687,1001,560.065855
-1.565736,649,576.690191
0.028002,1001,601.401088
3.370508,1001,625.64834
4.785584,1001,649.22625
6.537916,1001,673.55395
0.044229,208,680.781854
8.358282,1001,707.407116
0.157121,558,720.02909
17.595773,1001,743.795738
4.792793,427,754.306729
9.868937,1001,777.372011
8.65336,1001,800.51332
2.402544,675,815.503179
-0.761653,261,822.38249
0.588366,759,839.615445
13.712547,1001,862.873781
12.27075,1001,886.558499
4.27457,1001,910.639774
9.040818,604,927.651808
7.354784,790,947.0685
5.117369,717,965.357754
17.003586,1001,989.326766
10.018921,1001,1013.391943
1.177888,188,1017.798956
11.146819,1001,1048.382459
19.859593,984,1077.073292
2.802561,411,1089.171263
15.549109,1001,1117.009526
13.815302,639,1134.677619
15.39544,1001,1159.867154
10.458189,1001,1185.274424
13.751034,1001,1210.698928
0.294651,180,1215.432174
14.467506,828,1236.355498
15.759397,754,1256.369982
-0.365775,183,1261.259034
15.23821,919,1284.895703
20.391061,1001,1311.14337
19.544431,1001,1337.514624
17.426427,842,1359.607753
3.806273,340,1368.382331
10.751882,475,1381.872101
11.774443,573,1396.801343
14.495075,733,1416.213629
15.072371,727,1436.024499
2.430158,262,1443.375016
20.610376,1001,1470.39555
17.279379,1001,1496.885933
16.345867,770,1518.073354
20.80652,1001,1544.747765
20.524918,1001,1571.918314
3.303932,291,1579.837712
3.673398,322,1587.854489
20.812809,1001,1614.574953
20.551178,1001,1641.014439
19.42232,1001,1667.72
14.427203,687,1688.354859
19.780855,1001,1715.2621
20.876989,1001,1742.179584
14.50216,667,1759.668642
