#{"t_start": 1639687071.6414385, "env_id": null}
r,l,t
-1.027373,14,189.519847
-1.118387,60,190.371091
-1.119195,75,191.365971
-1.069686,32,192.020428
-1.042422,22,192.570918
-1.050054,29,193.154065
-1.043856,89,194.242684
-1.254777,77,195.254344
-1.712351,157,196.987081
-1.08063,32,198.701634
-1.080663,53,199.550958
-1.14182,43,200.2759
-1.098344,48,201.024635
-1.035931,18,201.532412
-1.144531,75,202.519885
-1.30969,108,203.773952
-1.074966,43,204.510393
-1.120859,95,205.658195
-1.040866,24,206.243009
-1.061336,33,206.872397
-1.096451,51,207.635294
-1.20708,80,208.670205
-1.107033,50,209.45243
-1.028784,13,209.937768
-1.064308,38,210.604747
-1.035015,22,211.142985
-1.058408,55,211.986115
-1.033164,21,212.540764
-1.052108,27,213.120383
-1.070223,35,213.766609
-1.320594,101,214.978226
-1.070846,132,216.475407
-1.061826,69,217.408434
-1.064096,37,218.085155
-1.098657,61,218.948306
-1.068407,38,219.625888
-1.152082,78,220.653007
-1.426657,109,221.930482
-1.133215,47,222.699872
-1.090901,46,223.43785
-1.063931,41,224.267478
-1.069259,36,224.960935
-1.053921,26,225.537917
-1.05744,31,226.172261
-1.209338,72,227.142479
-1.04338,25,227.718793
-1.082331,40,228.493106
-1.055745,31,229.20522
-1.393421,72,230.182224
-1.506688,98,231.372997
-1.115741,43,232.106605
-1.103308,51,232.888312
-1.354313,81,233.915052
-1.077625,30,234.552159
-1.036083,24,235.12453
-1.052838,29,235.72448
-1.053599,29,236.3279
-1.05684,30,237.004447
-1.066723,36,237.791988
-1.337805,130,239.614891
-1.030983,15,240.168129
-1.148635,57,241.134996
-1.178997,80,242.202257
-1.038016,21,242.717249
-1.113827,62,243.511512
-1.130803,71,244.368671
-1.247189,74,245.254703
-1.256927,105,246.390684
-1.210754,129,247.681629
-1.01624,37,248.315746
-1.117417,64,249.273075
-1.113873,56,250.131412
-1.082549,34,250.811537
-1.046865,26,251.4254
-1.039222,29,252.142231
-1.061919,90,253.673492
-1.397255,92,255.148305
-1.047395,27,256.047747
-1.13621,82,257.86359
-1.834342,154,259.917568
-1.036481,17,260.559649
-1.026746,14,261.101992
-1.048929,138,262.824471
-1.054293,31,264.613481
-1.040106,20,265.148139
-1.114282,60,265.948428
-1.116021,58,266.763261
-1.056884,33,267.350048
-1.196794,78,268.263161
-1.183185,127,269.526427
-1.083007,45,270.247292
-1.04184,21,270.742702
-1.030447,16,271.185356
-1.105444,71,272.105358
-0.970491,121,273.549498
-1.104129,53,274.569234
-1.051101,29,275.146386
-1.255596,109,276.282186
-1.040558,23,276.808972
-1.293877,127,278.139488
-1.022716,173,279.876113
-1.223495,107,281.060202
-1.076677,80,282.039493
-1.096314,39,282.713625
-1.082805,46,283.397718
-1.33217,91,284.418503
-1.047882,23,284.944388
-1.051718,36,285.545516
-1.141338,60,286.346251
-1.163085,88,287.369493
-1.077644,39,288.030796
-1.160328,77,288.977956
-1.106066,45,289.667445
-1.226474,88,290.766273
-1.072316,35,291.380692
-1.068512,34,291.988634
-1.065612,32,292.572476
-1.126174,54,293.305638
-1.044431,22,293.809761
-1.061229,32,294.397604
-1.115435,73,295.293269
-1.108177,55,296.086855
-1.074434,37,296.715005
-1.169185,85,297.707811
-1.178227,95,298.79404
-1.048982,24,299.323066
-1.604427,127,300.641189
-0.951862,75,301.550877
-1.092955,46,302.227417
-1.038797,53,302.9694
-1.136445,103,304.152452
-1.122603,102,305.284235
-1.175971,68,306.153692
-1.066879,39,306.808384
-1.054186,32,307.396959
-1.048285,27,307.941123
-1.091232,46,308.638151
-1.085844,53,309.375476
-1.066544,35,310.007432
-1.064762,33,310.612312
-0.929891,58,311.384941
-1.042188,22,311.902965
-1.084775,44,312.584916
-1.113149,49,313.29183
-1.054655,34,313.887728
-1.06137,31,314.461381
-1.08486,45,315.124824
-1.165118,91,316.193857
-1.079415,45,316.89715
-1.03747,22,317.40125
-1.049707,25,317.917839
-1.013721,33,318.497945
-1.058035,24,319.023301
-0.820546,75,319.891705
-1.041687,35,320.494358
-1.09335,35,322.006541
-1.03217,47,322.761774
-1.027648,15,323.235883
-1.007243,113,324.432343
-1.13093,53,325.16489
-1.073777,33,325.767684
-1.271505,136,327.130827
-1.189505,75,328.105161
-1.837267,138,329.603192
-1.166034,58,330.420774
-1.046638,42,331.068984
-1.08476,66,331.879977
-1.054349,30,332.461274
-1.165236,115,333.653505
-1.053075,28,334.22999
-0.976407,146,335.727986
-1.013109,36,336.377989
-1.053605,37,337.002035
-1.074344,36,337.62809
-1.429581,135,339.050676
-1.041293,19,339.652486
-1.07985,39,340.446485
-1.147188,80,341.694274
-1.292693,64,342.617656
-1.038299,20,343.116429
-1.038402,25,343.62272
-1.307507,97,345.007617
-1.325683,102,346.759833
-0.895765,93,347.984575
-1.122513,68,348.922449
-1.052597,26,349.515093
-1.075298,55,350.356586
-0.976236,156,352.127704
-1.111793,58,352.97285
-1.059758,29,353.580739
-1.269441,93,354.845602
-1.029156,18,355.458673
-1.071294,30,356.162255
-1.202037,61,357.022256
-1.143905,57,357.913966
-1.679961,186,359.883538
-1.062602,66,360.810889
-1.046058,24,361.451822
-1.579479,158,363.137106
-1.094185,44,363.817848
-1.46788,152,365.31371
-1.133197,71,366.21414
-1.111098,41,366.890544
-1.053847,27,367.433602
-1.187049,83,368.460419
-0.981766,63,369.288669
-1.106435,59,370.069157
-1.028679,16,370.544885
-1.060386,42,371.20524
-1.059831,37,371.823585
-1.109365,50,372.526555
-1.113124,59,373.284408
-1.085717,40,373.900304
-1.029439,16,374.356887
-1.098098,45,374.996652
-1.163745,52,375.697335
-1.091722,45,376.366821
-2.000401,110,377.517947
-1.289058,110,379.595579
-1.121705,55,380.361229
-1.055433,28,380.897494
-1.108627,93,381.91182
-1.102064,36,382.5224
-1.197587,87,383.507673
-1.139132,69,384.36633
-0.914307,100,385.438462
-1.167568,70,386.295802
-1.109542,55,387.064041
-1.044032,21,387.596084
-1.006495,76,388.545707
-1.024675,16,389.102681
-1.123619,70,389.990145
-1.333281,139,391.462744
-3.097889,496,396.138641
-1.065092,33,396.829127
-1.136036,67,397.640689
-1.575847,104,398.739607
-1.031915,17,399.207061
-1.028903,15,399.736402
-1.118788,58,400.546794
-1.094761,37,401.194868
-0.875404,74,402.125587
-1.127242,70,403.090366
-1.134247,67,404.10479
-1.21093,118,405.615517
-1.023609,14,406.175344
-1.070837,54,406.96107
-1.268389,113,408.357246
-1.354798,94,409.461334
-1.040671,21,409.99104
-1.089431,40,410.631953
-1.119142,72,411.506243
-1.052844,29,412.081162
-1.058689,29,412.644016
-1.069123,43,413.325126
-1.071539,32,413.946639
-1.151124,58,414.787328
-1.053426,27,415.34967
-1.471595,100,416.456516
-1.112013,56,417.226708
-1.126153,66,418.089238
-1.057746,32,418.696198
-1.205122,78,419.711933
-1.127238,57,420.530341
-1.072833,43,421.203639
-1.100703,42,421.900998
-1.054033,28,422.469449
-1.146558,87,423.525118
-1.032074,23,424.131051
-1.029604,18,424.62305
-1.232155,98,425.68298
-1.617534,144,427.155166
-1.072895,36,427.75708
-1.105288,70,428.725823
-1.036303,19,429.275544
-1.040983,25,429.898894
-1.417032,137,431.415282
-1.34727,174,433.147993
-1.08456,47,434.896049
-0.643972,111,436.315137
-1.048472,28,437.314142
-1.105821,33,438.180967
-1.053319,35,438.935995
-1.05191,25,439.604049
-1.145908,89,440.751015
-1.099465,54,441.710788
-1.066366,32,442.447309
-1.040375,31,443.060365
-1.04554,22,443.579443
-1.069124,39,444.222053
-1.058726,79,445.250511
-1.091965,44,445.946594
-1.19345,99,447.065478
-1.148554,65,448.028173
-1.049983,30,448.64645
-1.044904,27,449.263769
-1.104763,123,450.750373
-1.072411,47,451.487211
-1.059021,101,452.614086
-1.186189,52,453.603033
-1.08402,36,454.50379
-1.033763,43,455.342468
-1.058019,32,456.078499
-1.868574,168,458.182372
-1.069862,38,458.988002
-1.839412,149,460.868829
-0.954945,78,462.10296
-1.006489,72,463.230693
-1.179436,64,464.244971
0.790593,122,465.597552
-1.060702,43,466.339797
-1.04823,37,467.078196
-0.929292,119,468.546781
-1.058654,33,469.206422
-1.04635,22,469.780595
-1.319948,143,471.453182
-1.163612,85,472.57754
-1.086173,40,473.302495
-1.187594,89,474.357666
-1.381441,76,475.318041
-1.047395,24,475.8581
-1.049987,62,476.671475
-1.106974,52,477.394267
-1.094009,46,478.088491
-1.046559,23,478.603133
-1.585149,113,479.786369
-1.056181,53,480.572454
-1.213184,224,482.691708
-1.02596,17,483.184763
-1.055352,27,483.709789
-1.423889,152,485.240303
-1.173537,53,485.983275
-1.143048,71,486.868241
-1.149792,82,487.841342
-1.053027,27,488.405609
-1.101042,50,489.12682
-1.059629,68,489.99829
-1.101949,44,490.681051
-1.313161,132,492.063302
-2.428238,251,495.508719
-1.121499,47,496.34927
-1.212871,103,497.538272
-1.070017,35,498.190001
-1.080022,41,498.86489
-2.129934,414,502.538487
-0.952405,66,503.405254
-1.063977,28,503.963634
-1.108898,57,504.713446
-1.284691,97,505.790739
-1.167694,182,508.323435
-1.282541,142,510.022363
-1.210614,98,511.370689
-1.315532,142,513.073827
-1.136468,68,514.211033
-1.182195,143,515.914901
-1.386577,123,517.350454
-1.029844,97,518.551965
-1.10158,46,519.318722
-1.17123,74,520.333511
-1.089456,50,521.11659
-1.029948,20,521.649258
-1.099105,51,522.468018
-0.945868,95,523.609432
-1.358276,162,525.368049
-1.119957,115,526.735077
-1.067723,32,527.367372
-1.401276,148,528.989225
-1.169464,73,529.992688
-1.036931,23,530.581112
-1.197283,90,531.677405
-1.374004,117,533.035842
-1.089444,40,533.752775
-1.153213,86,534.844529
-1.034049,20,535.390646
-1.032943,20,535.914828
-1.268887,164,537.696223
-1.03496,18,538.234631
-1.47675,144,540.023374
-1.039318,25,540.641719
-0.936997,107,541.861246
-0.992683,188,543.844997
-1.080808,41,544.607326
-1.089714,47,545.35149
-1.06768,48,546.112369
-1.253206,84,548.303154
-1.056646,34,548.977358
-1.185528,74,549.95217
-1.343963,90,551.063577
-1.334687,94,552.21913
-1.188192,90,553.324877
-1.094331,44,554.086431
-1.202683,62,554.96024
-1.581592,129,556.423686
-1.264099,111,557.726362
-1.105647,51,558.568116
-1.103475,62,559.568635
-1.26581,120,560.98752
-2.126746,187,563.019253
-1.110248,44,563.776546
-1.118805,73,564.77862
-1.042168,20,565.324893
-1.131744,88,566.412762
-1.172819,62,567.286019
-1.105554,50,568.067462
-1.433725,146,569.672786
-1.049488,23,570.250137
-2.505917,416,574.294041
-1.043543,24,574.925824
-1.565412,217,577.18037
-1.180883,66,578.143121
-1.51158,171,579.965319
-1.037962,19,580.520407
-1.094384,67,581.41669
-1.214549,84,582.50311
-1.116822,42,583.218159
-1.109644,97,584.393009
-1.056338,32,585.028151
