#{"t_start": 1639844041.618553, "env_id": null}
r,l,t
-1.799874,56,256.247708
-2.04045,24,256.890975
-2.326537,75,258.019702
-2.071234,57,260.238702
-2.06941,37,261.011258
-3.33996,115,262.610516
-2.153975,71,263.746797
-2.208499,82,264.874656
-2.898851,132,266.452993
-2.160918,67,267.575953
-2.0591,35,268.302045
-1.93993,68,269.43091
-3.059497,187,271.647925
-2.276856,104,273.071637
-2.011792,66,274.058164
-2.183325,99,275.309665
-1.860464,320,278.813245
-2.524881,99,280.155095
-2.045163,21,280.767553
-2.109448,68,281.770781
-2.146207,90,283.039847
-2.138904,76,284.139428
-2.135979,67,285.149259
-2.116028,62,286.133537
-2.119618,44,286.928609
-2.089748,62,287.882399
-2.131076,102,289.268558
-2.342498,243,291.872824
-2.105453,67,292.906848
-2.162414,63,294.147216
-2.208376,150,296.055828
-2.305752,177,298.276696
-2.915884,319,301.729408
-2.106403,73,302.837241
-2.067417,50,303.706312
-2.149193,76,304.779011
-2.148492,58,305.682971
-2.061147,39,306.43811
-2.103862,48,307.372857
-2.161997,79,308.522829
-2.075655,86,309.664748
-1.856756,70,310.683852
-2.027824,117,312.161214
-2.166835,99,313.45972
-2.084104,44,314.275848
-2.162796,62,315.246804
-2.054415,57,317.361289
-2.061774,75,318.49815
-2.152512,201,320.773173
-1.996287,38,321.514008
-2.376441,198,323.775442
-2.138329,64,324.756219
-2.036945,24,325.371678
-2.125135,55,326.257139
-2.03415,63,327.21588
-2.197954,57,328.249665
-2.677693,243,331.054061
-2.001599,165,333.030245
-2.112561,52,333.915996
-2.258299,97,335.347955
-1.966694,98,336.683654
-2.143339,68,337.71455
-2.137944,107,339.118311
-2.257017,93,340.400077
-1.988559,70,341.457843
-2.258093,107,343.023468
-2.08506,44,343.909866
-2.027882,37,344.665806
-2.027233,180,346.811023
-1.955302,149,348.630762
-2.114514,45,349.468109
-2.702795,157,351.34772
-2.28356,73,352.418406
-2.329188,96,353.725728
-2.087311,72,354.843763
-2.177068,118,356.60258
-2.067528,34,357.340292
-1.921468,149,359.276509
-2.309047,127,361.153277
-0.305406,348,365.419376
-2.083874,38,366.334906
-2.07024,64,367.451803
-2.045826,22,368.145108
-2.432276,102,369.652755
-2.190282,99,371.173173
-2.146777,71,372.357188
-2.056453,32,373.121541
-2.128098,54,374.121896
-1.621987,273,379.01491
-2.086706,81,380.206942
-2.043963,25,380.839577
-2.287577,102,382.105288
-2.304815,109,383.446313
-2.600577,235,386.062899
-2.265536,91,387.319127
-2.374829,224,390.02889
-1.9907,119,391.530719
-2.418783,77,392.671003
-2.091075,33,393.37573
-2.068926,44,394.170892
-2.064757,31,394.888067
-2.994193,186,397.038319
-2.078092,47,397.839388
-2.061933,71,398.839827
-2.10272,65,399.808458
-2.155055,108,401.108206
-2.045028,28,401.742732
-2.37941,138,403.306335
-2.005804,133,404.845001
-2.182211,76,405.909754
-2.068135,60,406.811583
-2.102037,104,408.11694
-2.060235,38,408.858454
-1.992267,46,409.650455
-2.094125,49,410.466234
-2.077613,44,411.25774
-2.127997,74,412.323672
-1.766402,192,414.657437
-2.046949,23,415.329439
-2.141981,114,417.082928
-2.173237,87,418.80496
-2.204954,97,420.755361
-2.062134,36,421.725863
-2.582744,127,423.462665
-2.167912,98,424.898622
-2.101273,92,426.258799
-2.194754,43,427.135834
-2.074298,29,427.814731
-3.261545,269,431.00984
-2.300512,83,432.2451
-2.149427,113,433.736534
-2.10667,67,434.763001
-2.211696,90,437.364265
-2.076456,36,438.097357
-1.438077,137,439.753283
-2.160639,80,440.928044
-2.077947,53,441.822906
-2.129034,83,443.040305
-2.241676,126,444.608216
-2.062045,39,445.362304
-2.181096,82,446.499689
-1.241114,121,448.060729
-2.225975,100,449.511871
-2.107104,47,450.381089
-2.063147,51,451.261102
-2.136929,63,452.26408
-2.19205,85,453.487204
-2.643611,142,455.253827
-2.262007,62,456.301793
-2.062039,86,458.114555
-2.75105,159,460.37871
-2.0594,31,461.072912
-2.293985,130,462.71343
-1.640902,115,464.222295
-2.199016,85,465.449936
-3.033212,299,468.770208
-2.118081,59,469.908068
-2.201598,149,471.880582
-2.050847,39,472.698705
-2.269367,85,473.965732
-2.163145,75,475.08701
-1.976221,112,476.658242
-0.553354,280,480.230014
-2.891226,251,483.223705
-2.084944,36,483.976145
-1.943591,61,485.042346
-2.11799,57,486.008538
-2.156526,133,487.663456
-2.257359,58,488.614479
-2.035063,20,489.226657
-2.201244,110,491.037128
-1.979622,111,492.804737
-3.057035,153,494.681788
-2.099567,52,496.880496
-2.692469,71,497.970041
-2.099349,53,498.855522
-2.165721,63,499.826462
-2.874676,116,501.331571
-3.595526,350,505.148375
-1.960334,64,506.132931
-2.29738,129,507.74385
-3.30335,333,511.421284
-2.321668,61,512.407923
-2.370071,179,514.397349
-2.045315,25,515.021651
-2.162663,76,516.077819
-2.029607,194,518.315662
-2.303034,80,519.453976
-2.079778,42,520.252349
-2.038382,106,521.644474
-2.353794,114,523.131511
-2.140261,88,524.351032
-2.130993,57,525.293006
-2.199668,69,526.316989
-2.090748,45,527.12495
-1.949411,132,528.765026
-2.071578,119,530.301481
-2.065295,60,531.275318
-2.188447,105,532.630283
-2.098976,51,533.49348
-2.097511,45,534.339345
-2.11847,67,535.349054
-2.11193,63,536.320767
-2.256432,111,537.793969
-2.197475,118,539.295183
-2.303602,124,540.996244
-2.078135,47,541.920504
-2.283015,93,543.229344
-2.029093,21,543.828903
-3.232999,315,547.318879
-2.35461,159,549.175576
-2.219486,76,550.281938
-2.272236,88,552.716423
-2.128348,67,553.728845
-2.121193,136,555.282615
-2.208735,205,557.543827
-2.103741,57,558.484328
-2.125377,64,559.448692
-2.093491,51,560.296288
-2.166372,85,561.495347
-2.310947,85,562.678708
-2.151642,45,563.49889
-2.085813,97,564.776384
-2.161475,68,565.777122
-2.554856,179,568.046498
-3.202262,200,570.649992
-2.278253,130,572.620646
-2.043858,25,573.36029
-2.076983,178,575.683915
-1.901633,34,576.501507
-1.836168,133,578.317393
-2.063808,81,579.606214
-2.225129,121,581.364158
-1.979566,74,582.628822
-2.081562,70,583.817709
-2.277055,172,586.112622
-1.778897,621,593.498338
-2.046914,42,594.429516
-2.044302,50,595.364651
-2.324252,156,597.44958
-2.071104,62,598.585908
-2.40794,195,600.715017
-2.883652,136,602.470349
-2.282184,167,604.443943
-2.121286,79,605.558875
-2.119577,66,606.678026
-2.075547,60,607.585421
-2.106578,51,608.440803
-2.140731,65,610.623827
-2.035377,22,611.237958
-2.741134,143,612.933916
-2.48624,305,616.196769
-2.367451,195,618.422202
-2.122543,74,619.489182
-2.172416,169,621.698955
-1.993586,98,623.162959
-2.07981,70,624.320879
-2.246512,66,625.469275
-2.268066,117,627.198603
-1.725502,124,628.903837
-2.040292,28,629.626207
-1.78073,283,633.281517
-2.324775,124,634.985701
-2.063376,110,636.61544
-2.221627,125,638.149468
-3.2623,266,641.037528
-2.394509,175,643.070381
