#{"t_start": 1641206235.7401106, "env_id": null}
r,l,t
-8.244396,1001,16.412199
-4.359763,1001,34.532313
-11.306046,1001,54.023135
-8.589093,862,69.802154
-4.045594,892,84.580431
-5.035056,1001,107.16103
-2.779618,1001,130.805781
-6.992284,1001,152.31177
-5.687927,1001,173.511139
-5.494061,373,181.427844
-5.413446,1001,202.874454
-5.618498,1001,224.527852
-3.936668,1001,245.270643
-1.178826,1001,266.208477
-3.897426,469,276.438898
-5.636594,1001,298.14722
-1.393077,822,316.133221
-0.165443,1001,338.476081
2.247386,1001,361.098928
-1.366949,104,363.886808
0.205979,1001,386.017974
2.86312,1001,409.163141
-3.366494,362,416.890168
-2.526575,209,421.489491
0.785179,990,444.499379
-0.574499,1001,467.527236
1.608763,1001,490.375668
1.109995,1001,513.336538
-1.54801,125,516.612914
8.305956,1001,539.799776
6.987342,1001,563.022603
9.196661,1001,588.11077
6.882507,1001,612.086723
5.768425,1001,636.204534
4.566533,648,651.824798
4.802702,833,670.656823
10.119473,1001,699.705669
4.115906,1001,724.289222
-1.106831,116,727.877136
-0.461139,186,732.635998
7.695608,1001,755.67312
2.082001,538,766.82419
7.479549,894,787.525472
2.045508,353,795.295202
10.228577,1001,819.102689
5.43595,444,830.116989
-0.97003,399,838.957449
11.926565,1001,862.052962
3.94005,459,874.235042
4.851082,1001,897.555463
10.927959,1001,923.108
1.125153,346,932.377653
14.291859,1001,956.567231
10.262106,1001,981.464087
10.125186,750,999.797482
0.998357,413,1009.634943
17.289877,1001,1037.848321
11.289225,1001,1068.956375
0.944766,243,1074.774667
2.111848,242,1082.500755
10.908671,648,1099.447944
20.406822,1001,1127.769609
3.540204,312,1136.484663
5.255646,1001,1161.594589
4.823471,464,1173.913522
11.306004,1001,1199.233435
19.083833,1000,1224.650546
20.732109,1001,1250.24387
15.042459,802,1271.70466
6.930334,568,1286.000737
2.134393,283,1293.219176
-0.026076,130,1297.556585
13.053835,608,1312.76979
12.774884,611,1329.108265
15.366405,786,1348.810985
12.649359,575,1364.226666
18.90148,1001,1391.263192
19.862893,1001,1417.982462
4.561134,359,1427.384596
6.539041,526,1441.987835
18.230827,873,1465.498461
3.990592,332,1474.783025
20.276962,1001,1501.146637
4.382674,350,1510.244622
20.69285,1001,1536.857232
20.634064,1001,1563.95118
20.564858,1001,1591.610655
0.263271,137,1595.133739
11.128408,564,1610.059286
12.150213,556,1625.533072
20.834818,1001,1650.830267
20.666315,1001,1679.523087
20.949428,1001,1706.360331
17.854026,980,1732.458195
20.480656,1001,1759.617659
16.144268,767,1781.189634
20.280296,1001,1808.900092
5.621608,526,1824.117472
20.936664,1001,1851.466824
20.865485,1001,1879.114247
20.979054,1001,1907.108718
20.808964,1001,1934.813292
10.784414,474,1947.553394
11.404351,536,1963.202267
20.814879,1001,1990.525391
20.562911,1001,2018.454486
20.833754,1001,2046.649518
20.883125,1001,2075.573812
20.938137,1001,2103.861157
20.867851,1001,2132.367162
18.555663,883,2157.448137
20.625166,1001,2186.437551
20.829425,1001,2215.407224
12.322814,556,2232.328203
19.08534,906,2258.986532
20.970257,1001,2288.005775
20.849244,1001,2317.576076
20.890466,1001,2346.717151
20.783047,1001,2376.490992
20.873845,1001,2405.632478
3.161471,352,2415.458526
20.930446,1001,2444.946832
20.912235,1001,2474.782397
20.959055,1001,2504.843656
20.944728,1001,2534.882214
21.013255,1001,2564.720462
20.915738,1001,2594.94549
20.8138,1001,2626.733809
21.003738,1001,2658.841519
20.850174,1001,2690.013888
15.330897,716,2711.920751
18.818214,1001,2743.484138
21.025745,1001,2775.149689
20.879108,1001,2806.672254
20.968768,1001,2838.287592
20.97465,1001,2870.577117
20.776681,1001,2902.936806
20.932212,1001,2934.709198
17.56919,824,2961.910172
20.98464,1001,2994.190683
20.996993,1001,3025.866436
21.054375,1001,3057.720021
21.002568,1001,3090.19343
20.932544,1001,3122.752876
20.943084,1001,3155.93261
20.747006,1001,3189.089865
21.027421,1001,3221.718933
20.973864,1001,3254.44546
1.831081,212,3261.81821
21.014661,1001,3294.683446
21.01661,1001,3327.840077
20.899684,1001,3361.090974
21.010344,1001,3393.813152
21.06352,1001,3427.296886
21.036334,1001,3460.464315
21.018696,1001,3494.149076
21.11131,1001,3528.100648
21.088286,1001,3561.769764
4.869264,370,3575.738827
21.018973,1001,3609.986536
21.079869,1001,3644.67896
21.015794,1001,3679.02632
21.031122,1001,3713.685131
21.047602,1001,3748.765314
20.972055,1001,3783.79789
21.076294,1001,3819.045626
21.076305,1001,3854.338543
21.080378,1001,3890.354608
21.114614,1001,3925.141783
21.049002,1001,3960.331307
21.118962,1001,3995.381963
